Bezeichung,Kosten €,Durchmesser mm,Min. Biegeradius mm,Mechanische Zugfestigkeit N,Betriebstemperatur °C,Widerstand Ω,Spannungsfestigkeit kV
Kabel 28775,7.3,2,22.1,70,-24,23,2.1
Kabel 28776,4.8,1.9,27.1,90,146,17,5.7
Kabel 28777,4.2,2.4,26.4,60,61,25,2.8
Kabel 28778,7.7,2.4,27.7,80,39,24,3
Kabel 28779,4.3,1.6,18.7,80,-21,21,5.7
Kabel 28780,9.3,2.8,26.9,60,143,17,2.6
Kabel 28781,7.9,2.8,22,80,36,26,2.7
Kabel 28782,3.8,2.3,15,60,91,24,5.1
Kabel 28783,8.6,2.4,21.6,90,1,19,2.4
Kabel 28784,2.3,2.7,25.4,90,99,19,4.2
Kabel 28785,3.7,2.4,23.8,70,64,23,4.5
Kabel 28786,1.3,2.4,21.7,80,149,18,5.3
Kabel 28787,8.1,2.4,9.2,100,112,18,2.8
Kabel 28788,7.3,2.1,23.7,90,12,15,4.3
Kabel 28789,2,1.8,15.4,60,115,27,5.2
Kabel 28790,7.8,2.1,9.8,90,-37,15,5.9
Kabel 28791,7.1,2.2,12.5,60,47,19,3.5
Kabel 28792,5.2,2.4,22.6,90,108,26,4.4
Kabel 28793,1.2,2.3,16.4,90,59,14,2.2
Kabel 28794,8.9,2.8,15,80,121,16,4.6
Kabel 28795,1.4,2.3,24.8,70,135,14,4.8
Kabel 28796,2.2,2.2,11.3,70,17,25,3.5
Kabel 28797,5.9,2,14,90,44,23,5.4
Kabel 28798,6.3,2.7,22.5,90,145,26,4.7
Kabel 28799,9.5,2.2,17,90,42,24,5.9
Kabel 28800,3.5,2.7,25.4,80,-34,21,2.1
Kabel 28801,2.6,2.4,15,50,45,14,4.1
Kabel 28802,3.5,2.7,13.2,70,-10,16,2.6
Kabel 28803,9.4,2.8,23.3,90,129,25,5.6
Kabel 28804,3.4,2.5,10.9,80,80,21,2.3
Kabel 28805,2.6,2.4,26.6,100,-37,22,3.2
Kabel 28806,7.3,2.7,15.2,70,37,23,5
Kabel 28807,6,2.4,24.6,80,123,24,4.1
Kabel 28808,2.2,2.3,16.2,80,96,26,4.1
Kabel 28809,1,1.9,13,80,-8,22,3.6
Kabel 28810,9.1,2.5,27.9,70,147,13,3.8
Kabel 28811,7,2.3,26.4,90,80,22,4
Kabel 28812,8.7,2.5,14.9,80,39,17,5.6
Kabel 28813,2.1,1.8,17.5,70,27,18,3.1
Kabel 28814,5.2,2.5,26.6,50,55,23,5.1
Kabel 28815,1.5,2,9.3,70,64,23,4.2
Kabel 28816,9.2,2.2,16.1,90,81,19,2.1
Kabel 28817,1.9,2,19.4,80,36,24,4.5
Kabel 28818,4,2,13.7,80,-29,18,5.7
Kabel 28819,9.4,2.7,25.4,80,110,17,4.4
Kabel 28820,7.3,2.2,21.4,90,1,18,3.7
Kabel 28821,1.8,1.6,22.8,60,51,20,3.4
Kabel 28822,2.7,2.7,16.9,50,111,25,4.5
Kabel 28823,7,2.6,11,70,-31,16,3.6
Kabel 28824,6.7,2.5,9,90,121,25,3.6
Kabel 28825,5.5,2.5,11.3,80,43,15,5.2
Kabel 28826,4.8,2.7,20.2,60,19,18,4.4
Kabel 28827,2.7,2.5,25.4,70,99,13,4.2
Kabel 28828,3.1,2.8,10.8,50,93,27,3
Kabel 28829,6.7,2.5,22.9,80,108,26,5.4
Kabel 28830,7.4,2.6,18.7,80,9,18,4.8
Kabel 28831,9.5,1.9,14.6,100,-29,26,4.3
Kabel 28832,2.1,1.8,27.4,90,107,24,5.6
Kabel 28833,5.9,2.2,10.5,100,79,20,4.4
Kabel 28834,7.3,1.7,17.5,90,36,22,3.5
Kabel 28835,7.6,2.5,18.6,70,71,24,5.2
Kabel 28836,6.5,1.6,11,80,-27,15,4.5
Kabel 28837,9.8,2.4,14.1,80,-23,26,2.2
Kabel 28838,6.8,1.9,9.4,90,-21,15,2.4
Kabel 28839,8.4,2.3,11.7,80,14,25,2.4
Kabel 28840,8.3,2.3,15.4,90,-9,24,4.9
Kabel 28841,3.1,2.3,9.3,80,41,16,4.6
Kabel 28842,2.8,2,23.9,80,49,18,4.2
Kabel 28843,1.5,1.9,15.3,80,8,25,3.2
Kabel 28844,3.5,2.4,25.6,50,39,19,5.2
Kabel 28845,5.5,1.8,25.3,60,95,21,2.8
Kabel 28846,9.9,1.9,15.4,70,2,21,3.5
Kabel 28847,9.1,1.7,25.5,70,-10,18,4.2
Kabel 28848,2.3,2.2,20.8,60,107,21,2.6
Kabel 28849,2.7,2.3,16.6,90,6,22,4.7
Kabel 28850,3.9,2.6,16.1,70,-32,24,5
Kabel 28851,8.3,2.6,8.2,100,148,14,5.9
Kabel 28852,6.9,2.8,16.8,70,91,20,3.9
Kabel 28853,7.7,2.1,21.4,90,123,26,2.2
Kabel 28854,6.9,1.8,17.6,90,121,16,5.7
Kabel 28855,8.5,1.9,15.8,60,-18,26,3.5
Kabel 28856,3.1,2.4,14.1,100,126,14,2.6
Kabel 28857,8.6,2.3,9.6,60,41,23,3.2
Kabel 28858,9.4,1.7,23.2,80,57,24,4.3
Kabel 28859,9.8,2.2,15.8,90,105,21,2.4
Kabel 28860,4,2.3,20.5,60,95,21,3
Kabel 28861,2.3,2.3,11.1,100,45,24,5.3
Kabel 28862,4,2.7,24.8,60,117,25,3
Kabel 28863,9.3,2.5,9.6,70,-33,13,3.5
Kabel 28864,7.5,2.1,20.5,100,43,23,2.3
Kabel 28865,2.3,1.9,27.8,70,143,16,4.2
Kabel 28866,7.7,2,18.9,50,102,16,2.8
Kabel 28867,2.6,2.2,16.2,60,106,13,3
Kabel 28868,2.1,2.4,13.3,60,-35,25,3.3
Kabel 28869,7,2.2,17.3,60,-12,25,5.5
Kabel 28870,5.5,1.7,17.4,50,-24,23,2.8
Kabel 28871,8.1,2.2,26.8,100,-4,14,4.7
Kabel 28872,8.2,2.4,9.9,50,14,19,5.2
Kabel 28873,2.9,2,10.2,60,-7,22,5.8
Kabel 28874,6.6,1.7,22.2,60,137,24,4.8
Kabel 28875,3.8,2,28,60,7,15,4.6
Kabel 28876,2.7,2.3,17.9,50,88,15,3.2
Kabel 28877,6.6,1.7,25.9,50,102,20,5
Kabel 28878,1.7,2.5,25.1,50,-6,15,5.2
Kabel 28879,3.1,1.6,11.2,70,144,15,2.3
Kabel 28880,5.6,2.7,10.9,90,-27,18,2
Kabel 28881,5.5,2.8,24.6,60,-1,26,3.8
Kabel 28882,7.6,2.7,26.1,90,-17,15,4.5
Kabel 28883,4,2.5,24.3,100,106,21,4
Kabel 28884,8.9,2,9.9,60,141,21,4.1
Kabel 28885,5.6,1.9,27,60,132,14,2.1
Kabel 28886,8.7,2.5,18.4,70,126,13,5.2
Kabel 28887,2.1,1.6,18.9,80,70,26,5.6
Kabel 28888,9.7,2.2,23.2,70,123,16,2.4
Kabel 28889,2.7,2.6,14,80,-6,24,4.1
Kabel 28890,3.9,2.1,17.6,100,-30,14,2
Kabel 28891,4.6,1.9,13.7,60,29,13,2.6
Kabel 28892,4.2,2.4,24.3,80,-8,22,2.2
Kabel 28893,9,2,13.3,50,-8,13,5.4
Kabel 28894,9.8,2.5,9,90,103,19,2.1
Kabel 28895,9,1.9,14.4,90,-14,24,2.8
Kabel 28896,7.9,1.8,10.5,90,124,27,3.6
Kabel 28897,9.6,1.9,14.7,60,148,15,5.6
Kabel 28898,7.9,2,23.7,90,74,21,3.8
Kabel 28899,2.2,1.9,16.1,80,62,26,3.4
Kabel 28900,3.3,2.7,18.4,90,6,18,2
Kabel 28901,3.5,2.5,27.3,70,5,19,4.6
Kabel 28902,3.2,1.9,13.7,80,-1,22,2.6
Kabel 28903,8.1,2.5,15,60,-26,22,3.5
Kabel 28904,8.9,2.1,11.8,90,111,18,2.7
Kabel 28905,4.2,1.8,11.7,80,-27,22,6
Kabel 28906,9.8,2.6,24.1,70,6,25,2
Kabel 28907,7.6,2,10.8,90,-4,14,5.9
Kabel 28908,4.9,2.4,18.5,70,136,13,3.9
Kabel 28909,7.9,2,8.7,90,45,18,5.8
Kabel 28910,6.5,1.7,13.6,80,47,15,3
Kabel 28911,2.8,1.8,8.5,90,101,24,5.2
Kabel 28912,4.4,2.4,17.4,60,18,17,5.1
Kabel 28913,3.5,2.3,8.9,70,132,15,3.1
Kabel 28914,7.9,2.4,25.2,50,136,15,5.5
Kabel 28915,1.8,1.9,22.5,80,62,23,2.8
Kabel 28916,4.6,2,22.1,80,61,16,5.7
Kabel 28917,6,1.8,11.7,60,-21,15,5.2
Kabel 28918,4.2,2.1,16,70,127,15,3.5
Kabel 28919,3.5,1.9,18.1,90,26,25,3.9
Kabel 28920,3.8,2.6,16.6,60,96,16,2.7
Kabel 28921,8.5,2.7,15.2,60,80,14,2.4
Kabel 28922,8.3,2.2,25.4,70,-22,26,5.7
Kabel 28923,6.9,2.4,13.1,80,54,14,2.2
Kabel 28924,3.7,1.6,20.4,90,57,20,5.2
Kabel 28925,7.3,1.8,27,70,44,24,2.9
Kabel 28926,3.5,2.5,19.9,70,85,22,4
Kabel 28927,7.5,1.6,9.8,90,137,22,3
Kabel 28928,8.2,2.5,15.7,60,18,21,5.8
Kabel 28929,9.2,2.6,13.1,90,148,24,2.8
Kabel 28930,1.7,2.5,15.5,70,17,17,3.1
Kabel 28931,4.6,2.6,13.9,90,77,17,4.7
Kabel 28932,8.4,1.7,27.4,60,64,21,2.6
Kabel 28933,3.6,2.2,23.5,60,-31,25,5.3
Kabel 28934,2,1.9,23.3,60,55,18,2.5
Kabel 28935,7.4,2.4,23.5,70,-38,13,5
Kabel 28936,3,2.5,13.8,80,-30,20,3.6
Kabel 28937,9,2,15.5,90,-2,24,4.3
Kabel 28938,6.4,2.4,25.9,80,-21,26,2.3
Kabel 28939,4.4,2.7,16.5,70,23,18,3.5
Kabel 28940,2.2,2.7,22.1,60,70,25,5.8
Kabel 28941,6.1,2.6,12.2,70,-17,14,3.3
Kabel 28942,4.3,2.4,8,50,76,17,2.2
Kabel 28943,6.5,1.8,11.7,50,-15,26,3.5
Kabel 28944,1.2,1.8,18.5,90,109,18,5.5
Kabel 28945,6.3,2.4,21.1,60,71,25,5.5
Kabel 28946,5.8,2.7,26.2,90,-35,24,4.7
Kabel 28947,9.6,2.4,9.4,90,116,18,5.9
Kabel 28948,1.1,1.9,18.8,60,62,14,2.9
Kabel 28949,9,2.6,26.7,90,-6,26,2.9
Kabel 28950,9.8,2.6,26.3,70,62,22,2.6
Kabel 28951,9.6,2.7,11.4,60,-29,19,5.4
Kabel 28952,5.8,2.7,10,80,43,19,3.4
Kabel 28953,2.4,2.6,16.3,90,73,23,2.9
Kabel 28954,5.3,2.7,8.8,80,147,14,4.2
Kabel 28955,5.6,2.1,15.9,80,67,25,3.2
Kabel 28956,7.3,2.1,8.6,90,90,19,5.4
Kabel 28957,4.1,2.4,8.1,90,18,19,5.2
Kabel 28958,7.9,2.7,14.1,90,140,15,5
Kabel 28959,1,2.3,27.3,50,27,17,3.9
Kabel 28960,8.9,2,21.6,60,20,19,5.7
Kabel 28961,6.4,2.5,26.7,100,-29,19,3
Kabel 28962,7,1.9,12.9,100,-19,15,4.5
Kabel 28963,8.4,1.6,18.8,90,2,14,3.1
Kabel 28964,3.2,2.5,20.4,100,-32,24,4.7
Kabel 28965,7.4,2.6,17.7,60,-30,23,3.9
Kabel 28966,6.2,2,28,70,9,15,2.1
Kabel 28967,8.5,2.7,12.2,70,146,26,4.9
Kabel 28968,7.9,2.4,22.8,80,25,25,5.3
Kabel 28969,9.6,2.3,12.3,60,82,18,4.4
Kabel 28970,7.9,2.6,16.5,90,-20,19,2.7
Kabel 28971,5.8,2.1,11.9,80,92,19,2.1
Kabel 28972,3.7,1.6,25.8,80,66,16,5.7
Kabel 28973,10,2.6,10.1,90,50,18,5.1
Kabel 28974,6.1,1.9,24.8,70,40,22,5.1
Kabel 28975,1.9,2.5,13.2,90,85,27,3.2
Kabel 28976,8,2.7,17.5,80,-10,15,3.2
Kabel 28977,7.4,1.9,18.7,100,138,19,4.5
Kabel 28978,10,2.6,18.2,60,-34,15,3.1
Kabel 28979,1.7,2.7,16.5,80,57,22,3.9
Kabel 28980,8.4,2.7,11.9,50,30,16,5.9
Kabel 28981,6.4,2.8,17.5,50,22,24,4.8
Kabel 28982,5.7,2.4,11.3,90,103,24,4.6
Kabel 28983,6.4,2.3,17,50,-5,25,2.1
Kabel 28984,7.8,2.3,27.6,60,138,26,5.2
Kabel 28985,8.9,2.3,17.1,60,-19,20,2.2
Kabel 28986,8,2.2,23.6,60,60,21,2
Kabel 28987,3.1,1.8,25.2,60,24,18,5.7
Kabel 28988,8.6,1.6,16.4,80,66,17,5.3
Kabel 28989,4.4,2.2,21.9,90,105,17,4.1
Kabel 28990,3.8,1.7,23.8,90,-36,14,2.1
Kabel 28991,3,2.5,25.4,90,51,19,3.4
Kabel 28992,1.1,2.3,15.2,100,45,16,3.8
Kabel 28993,3.2,1.7,27,80,8,23,4.1
Kabel 28994,6.6,2.4,27.2,100,94,27,2.5
Kabel 28995,9.4,2,24.9,50,34,15,4.4
Kabel 28996,6.3,1.7,22.6,80,149,25,4.8
Kabel 28997,6.3,2.2,18.3,70,27,19,3.6
Kabel 28998,8.9,2.5,24.9,70,112,17,5.8
Kabel 28999,1.5,2.1,23.4,50,20,14,5.2
Kabel 29000,7.9,2.1,25.7,90,-18,13,4.9
Kabel 29001,7.7,2.4,21.3,100,63,17,4.2
Kabel 29002,2.8,2.1,10.7,70,53,13,5.1
Kabel 29003,3,1.6,25.2,50,-39,17,5
Kabel 29004,3.1,2.7,27.4,50,-3,16,2.2
Kabel 29005,9.5,2.1,19.1,50,115,17,5.3
Kabel 29006,6,2.5,25.1,70,70,27,3.8
Kabel 29007,4.2,2.8,22.6,70,-27,26,2.2
Kabel 29008,7.8,2.2,13.8,60,120,21,4.4
Kabel 29009,8.6,1.8,23.3,90,124,24,2.1
Kabel 29010,9,2.4,21.7,50,112,27,3.4
Kabel 29011,4.3,2.6,18.9,80,86,17,4
Kabel 29012,9.7,2.7,9.7,50,2,18,4.2
Kabel 29013,4.7,1.9,11.4,100,14,18,2.2
Kabel 29014,4.7,2.3,11.8,90,47,25,2.6
Kabel 29015,9.5,2.2,25.6,80,21,22,2
Kabel 29016,8.8,2.1,14.7,80,137,25,2.8
Kabel 29017,3.4,2.1,22.8,60,149,17,2.3
Kabel 29018,8.7,2.7,11.1,90,-7,17,5.3
Kabel 29019,1.9,1.6,13.1,70,25,17,4.3
Kabel 29020,3,2.1,25.5,100,-25,18,5.7
Kabel 29021,6.5,2.4,27.2,60,6,25,4.9
Kabel 29022,4.3,2.1,16.1,80,134,26,4.1
Kabel 29023,4,2.3,27,90,125,20,5.7
Kabel 29024,4.8,2.6,23.4,80,27,18,5
Kabel 29025,8.8,2,13.1,60,11,13,2.8
Kabel 29026,9.1,2.8,12.5,80,136,15,5.8
Kabel 29027,4.1,2.2,8.2,80,82,17,4.8
Kabel 29028,4.6,2.3,21.1,70,133,17,2.4
Kabel 29029,4.7,1.9,26.9,90,-35,14,3.6
Kabel 29030,5.1,1.9,20.5,80,137,20,2.4
Kabel 29031,5.4,1.6,18.1,70,-19,21,4.4
Kabel 29032,4.7,2.3,19.5,80,119,19,4.6
Kabel 29033,7.7,2.4,26.6,80,-29,14,2.3
Kabel 29034,3.3,2.3,15.3,90,72,26,3.1
Kabel 29035,4.5,2.5,23.6,100,-8,24,3.4
Kabel 29036,2.1,2.6,20.7,90,-16,16,2.6
Kabel 29037,8,2.2,16.5,50,110,27,2.4
Kabel 29038,2.2,2.2,14,60,134,14,2.8
Kabel 29039,7.1,1.7,9.3,90,89,13,4.1
Kabel 29040,1,1.6,9.4,90,29,18,3.9
Kabel 29041,1.2,2.2,16,50,139,23,4.8
Kabel 29042,9.7,2.8,8.7,90,38,23,4.3
Kabel 29043,7.5,2.5,24.7,80,72,24,3.9
Kabel 29044,5.6,1.9,11.9,100,80,17,2.9
Kabel 29045,7.9,1.8,14.6,100,8,22,4.5
Kabel 29046,9.9,2.7,9.6,100,-22,19,4.8
Kabel 29047,5.2,2.5,18.7,70,82,26,2.6
Kabel 29048,3.7,2.3,14.9,90,75,16,3.6
Kabel 29049,8.9,2.3,23.3,70,31,18,2.1
Kabel 29050,6.1,2.3,13.2,60,40,14,5.4
Kabel 29051,5.8,2.4,17.8,50,-26,19,3.5
Kabel 29052,4.6,2.5,10.4,70,98,19,4.4
Kabel 29053,3.2,1.7,19.3,70,141,20,3.4
Kabel 29054,2.8,2.6,9.4,100,84,19,5.6
Kabel 29055,5.8,2.5,14.8,60,148,22,5
Kabel 29056,9.7,2.4,12.9,70,-19,19,4.5
Kabel 29057,9,2.4,24.7,60,-30,26,5.4
Kabel 29058,4.7,2.3,21.2,100,38,19,2.2
Kabel 29059,2.3,1.8,22.7,60,44,27,5.4
Kabel 29060,3,1.9,25.6,90,61,16,4.9
Kabel 29061,2.8,2.1,11.8,90,82,22,2.9
Kabel 29062,7.5,2.8,24,60,113,20,2.3
Kabel 29063,8.3,2.7,14.5,100,40,25,5.2
Kabel 29064,7.9,2,19.8,90,78,27,4.6
Kabel 29065,8.4,2.5,21.9,60,10,16,2.8
Kabel 29066,8.8,2.5,21.9,80,49,20,5.6
Kabel 29067,8.3,2.8,17.2,80,-11,20,5.9
Kabel 29068,5.8,1.8,27.4,70,-14,21,5.9
Kabel 29069,8.6,1.8,22,90,-9,19,3.3
Kabel 29070,7.6,2.7,8.3,50,110,19,5.4
Kabel 29071,5.6,1.9,26.7,80,-39,26,2.5
Kabel 29072,3.6,2.4,21.4,100,102,14,5.4
Kabel 29073,8.4,2.3,24,90,-40,27,2.9
Kabel 29074,6.9,1.9,19.4,60,19,23,2.5
Kabel 29075,5.1,1.9,13.6,90,115,20,4
Kabel 29076,6.4,1.7,22.4,70,89,18,2.9
Kabel 29077,6.5,1.7,18.2,80,70,17,2.4
Kabel 29078,6.1,1.8,8.9,60,17,17,5.7
Kabel 29079,5.8,1.8,14.5,90,-14,19,5.9
Kabel 29080,4.8,1.9,21,80,47,20,4.5
Kabel 29081,7.3,2.7,19.5,90,18,27,2.1
Kabel 29082,1.2,2.2,8.5,90,117,22,4.7
Kabel 29083,7.4,2.7,21.9,60,88,18,5.7
Kabel 29084,2,1.6,21.3,70,-37,24,5.7
Kabel 29085,7.8,1.7,19.6,60,-27,23,3.9
Kabel 29086,2.6,2,19.5,50,68,14,4
Kabel 29087,3.2,2.3,15.6,80,49,17,3
Kabel 29088,5.4,1.9,24.7,70,89,25,3.1
Kabel 29089,2.1,2.7,18.3,70,144,17,3.5
Kabel 29090,9.8,2.5,10.9,90,29,23,2
Kabel 29091,9.1,2.3,15.3,60,-19,18,3.5
Kabel 29092,4.1,2.4,9,90,65,20,5.1
Kabel 29093,8.6,2.1,25,70,79,21,5.1
Kabel 29094,2.7,2.3,20.1,80,98,18,2.6
Kabel 29095,6.9,2.1,21.4,90,-31,21,2.7
Kabel 29096,6.2,2.3,24.7,70,39,25,5.4
Kabel 29097,4,2.3,9,90,114,15,4
Kabel 29098,7.4,2.1,22,90,19,18,2.2
Kabel 29099,9.7,2.7,19.3,80,41,18,3.8
Kabel 29100,1.8,2.2,17.8,70,1,19,4.6
Kabel 29101,3.3,2,12.2,90,18,22,3.3
Kabel 29102,2.8,2.2,11.6,60,83,22,5.3
Kabel 29103,1.2,2.8,25.5,90,4,14,2.9
Kabel 29104,7.6,2,25.2,80,-33,18,6
Kabel 29105,4.4,1.9,15.2,60,82,27,4.7
Kabel 29106,3.4,1.7,27.1,80,101,13,5.3
Kabel 29107,3.8,2.1,18.4,90,18,26,4.2
Kabel 29108,1.1,2.1,9.8,70,-31,25,4.3
Kabel 29109,4.9,1.9,15.6,80,-36,22,5
Kabel 29110,6.8,1.6,21.2,60,-16,15,4.1
Kabel 29111,8.3,2.1,13.9,60,-10,18,4.2
Kabel 29112,8.5,2.3,27.7,60,19,20,3.5
Kabel 29113,5.2,2.3,19.6,80,21,19,2.1
Kabel 29114,8.5,2.5,20.4,60,84,25,5
Kabel 29115,6.8,2.8,13.1,90,78,24,2.3
Kabel 29116,2.5,2.4,17.9,50,51,15,5.7
Kabel 29117,5.4,2.8,15.7,70,33,16,5.6
Kabel 29118,8.6,1.9,15.2,90,117,17,3.2
Kabel 29119,7.1,1.9,13.2,60,147,19,4.8
Kabel 29120,9.7,2.7,21.2,70,123,19,3.9
Kabel 29121,9.9,2.7,8,100,-28,19,2.8
Kabel 29122,3.4,2.5,12.4,70,-18,22,5.6
Kabel 29123,7.6,1.9,26.4,70,-22,25,4.7
Kabel 29124,8.4,2.1,18.6,70,5,25,3.2
Kabel 29125,1.5,2,25.9,50,110,25,5.2
Kabel 29126,8.6,2.8,8.6,90,46,14,3.6
Kabel 29127,9.1,2.3,15.6,80,82,17,3.3
Kabel 29128,6.6,1.6,15.6,90,-5,16,2.6
Kabel 29129,4.5,2.7,12.5,70,91,20,4.3
Kabel 29130,2.2,2.3,16.6,50,18,18,3.3
Kabel 29131,4.2,1.9,9.3,90,99,21,3.6
Kabel 29132,5.2,2.2,20.4,90,32,22,4.4
Kabel 29133,9.3,2.1,24,60,114,21,5.2
Kabel 29134,3,1.7,22.2,90,147,21,2.9
Kabel 29135,4.1,2.7,24.4,90,-40,18,2.2
Kabel 29136,6.7,1.7,25.5,50,101,24,3.1
Kabel 29137,6.5,2,20.9,100,-6,27,5.9
Kabel 29138,4,2.1,10.7,60,-21,20,5.1
Kabel 29139,8.8,2.7,10,50,11,15,5.9
Kabel 29140,7.1,2.7,20.8,80,89,19,5.8
Kabel 29141,9.5,2.3,12.4,50,96,15,4.4
Kabel 29142,6.1,1.8,19.4,80,125,18,2.7
Kabel 29143,9.7,1.7,20.5,60,1,17,6
Kabel 29144,1.9,2.4,15.9,60,45,25,4.2
Kabel 29145,4.9,2,8.3,50,33,22,2.1
Kabel 29146,7,2.6,25.1,50,18,26,5.2
Kabel 29147,5.2,2.8,9.3,90,147,16,3.4
Kabel 29148,4.4,2.6,18.3,90,94,26,5.6
Kabel 29149,1.7,2.3,21,90,38,19,2.5
Kabel 29150,7.7,2.3,23.6,90,52,18,2.8
Kabel 29151,3.3,2.3,25.6,90,78,26,4.2
Kabel 29152,1.5,2.6,26.3,90,120,13,2.3
Kabel 29153,2.2,2.2,26.6,50,16,20,2.7
Kabel 29154,4.3,2.2,10,60,31,14,4.2
Kabel 29155,5,1.7,21.9,90,142,18,4.4
Kabel 29156,2.9,2.2,14.4,100,-37,17,3.9
Kabel 29157,5.2,1.8,15,90,29,16,2.2
Kabel 29158,9.2,2.5,13.9,60,-1,21,3.7
Kabel 29159,4.1,2.3,23.8,80,-33,23,4.6
Kabel 29160,1.5,1.7,9.3,80,-18,25,3.7
Kabel 29161,6.5,2.2,17.4,60,5,25,3.2
Kabel 29162,6.7,2.5,11.2,70,83,18,5.2
Kabel 29163,6.7,2,19.6,50,138,23,4
Kabel 29164,3.7,2.1,9,60,-16,15,3.5
Kabel 29165,4,1.9,8.3,80,-10,22,3.3
Kabel 29166,4.9,2.7,9.7,90,52,14,5.4
Kabel 29167,3.7,2,13.3,80,84,22,2.5
Kabel 29168,7.5,1.9,27.9,90,64,25,4.3
Kabel 29169,1.3,1.7,27.2,60,9,26,5.2
Kabel 29170,3.6,1.8,21.6,90,24,20,3.5
Kabel 29171,2,2.3,27.4,50,78,21,5.5
Kabel 29172,6.6,2.3,22.3,70,144,18,3.8
Kabel 29173,9.9,2.7,17.6,80,30,26,2.9
Kabel 29174,5.2,2.7,18.5,60,115,15,2.5
Kabel 29175,6,2.2,11.1,70,0,24,3.4
Kabel 29176,3.7,1.9,14.3,70,114,19,4.2
Kabel 29177,2.5,1.8,9.6,50,90,19,5.4
Kabel 29178,3.8,2.8,15.1,60,49,18,4.7
Kabel 29179,9.2,2.5,27.3,90,105,27,5.1
Kabel 29180,9.1,1.7,13.1,80,98,16,3.7
Kabel 29181,9.7,2.6,12.7,100,91,26,3.2
Kabel 29182,8.3,2.5,25.7,80,40,19,2.2
Kabel 29183,8.4,1.7,25,60,53,27,3.9
Kabel 29184,5.7,1.6,8.4,90,65,15,4.3
Kabel 29185,7.6,2.6,13.6,60,129,14,5.4
Kabel 29186,6.2,1.9,13.5,50,72,23,2.7
Kabel 29187,7.8,2.6,15.7,70,74,24,3.8
Kabel 29188,7,2.2,19.1,80,47,17,5.7
Kabel 29189,7.3,2.1,13.5,80,48,15,4.2
Kabel 29190,9.6,2.6,16.4,50,102,19,3.9
Kabel 29191,2.7,2.1,24.4,60,4,16,5.9
Kabel 29192,3.8,2.8,22.8,80,58,16,4.5
Kabel 29193,2.6,2.4,13.8,60,-33,24,4.3
Kabel 29194,7.4,2.1,15.3,80,76,23,5.9
Kabel 29195,9.2,1.9,11.5,90,147,19,3
Kabel 29196,9.8,1.6,23.8,50,57,21,4
Kabel 29197,4.5,2.4,23.1,50,-39,25,2.3
Kabel 29198,4.8,1.8,22.4,70,-40,16,4.3
Kabel 29199,6.9,2.1,8,50,141,23,4.4
Kabel 29200,4.6,2.2,14.9,70,112,17,5.1
Kabel 29201,5.3,1.7,20,90,97,20,2.4
Kabel 29202,8,1.6,25.4,80,10,22,2.3
Kabel 29203,4.1,1.7,22.7,90,-15,15,4.9
Kabel 29204,4.6,1.7,16.9,70,103,23,3.8
Kabel 29205,4,2.5,17,60,144,19,2.4
Kabel 29206,8.6,2.7,23.4,70,134,24,2.2
Kabel 29207,6.4,2.6,25.6,90,106,17,5.8
Kabel 29208,7.6,1.9,15,80,12,14,2.4
Kabel 29209,7.6,2.4,13.4,100,32,25,5.1
Kabel 29210,6.4,2.1,10.1,70,42,24,4.7
Kabel 29211,7,2.3,13.7,70,79,17,4.6
Kabel 29212,6.1,2,26.3,50,-6,15,2.2
Kabel 29213,1.2,2.7,14.8,60,60,23,5.7
Kabel 29214,5.9,1.9,19.5,50,-32,27,2.3
Kabel 29215,4.3,2.2,23.5,80,-38,14,5.6
Kabel 29216,3.7,2.7,12.4,70,148,15,5.7
Kabel 29217,3,1.7,15.2,80,62,23,3.5
Kabel 29218,6.3,2.1,26.5,90,-13,22,5.7
Kabel 29219,3,1.8,9.5,80,106,18,2.6
Kabel 29220,6.1,2.4,19.1,100,53,22,3.7
Kabel 29221,1,2.8,20,90,33,18,2.2
Kabel 29222,2.8,2.1,26.5,60,6,26,3.5
Kabel 29223,3,2.4,15.9,50,130,17,2.8
Kabel 29224,6.7,2.2,15.3,70,135,19,4.8
Kabel 29225,3.5,2.7,21.7,90,115,25,3.4
Kabel 29226,2.9,2.6,9.7,70,31,19,5.5
Kabel 29227,1.2,1.6,21.1,90,5,15,2.3
Kabel 29228,7.3,1.6,22.5,90,9,22,3.6
Kabel 29229,4.4,2.6,24.5,60,72,20,5
Kabel 29230,3.3,2.1,27.8,70,149,26,5.6
Kabel 29231,6.4,1.8,8.4,90,67,18,5.1
Kabel 29232,5.2,2.7,15.2,80,122,24,2.6
Kabel 29233,8.9,1.7,24.3,90,-38,22,2.5
Kabel 29234,6.2,2.7,27.8,90,101,24,3.2
Kabel 29235,6.3,2,15.1,100,-39,21,4.8
Kabel 29236,6.4,2.3,23.8,80,82,24,5
Kabel 29237,3.9,1.9,19.1,60,67,19,3.2
Kabel 29238,6.6,2.5,16.5,70,145,18,2.5
Kabel 29239,4.2,2,16.6,60,-32,25,2.8
Kabel 29240,1.1,2.1,26.6,90,-29,15,2.4
Kabel 29241,1.8,2.7,10.4,60,-31,19,4.1
Kabel 29242,2.8,2,26.7,60,83,15,4.2
Kabel 29243,2.7,1.8,22.6,50,-25,19,3.3
Kabel 29244,7.1,1.8,11.1,90,-22,25,4.9
Kabel 29245,8.3,2.7,22.4,70,130,23,4
